V_gene,RBM_VU_id
TRAV1-1,0
TRAV1-2,1
TRAV10,2
TRAV12-1,3
TRAV12-2,4
TRAV12-3,5
TRAV13-1,6
TRAV13-2,7
TRAV14,8
TRAV14DV4,9
TRAV16,10
TRAV17,11
TRAV18,12
TRAV19,13
TRAV2,14
TRAV20,15
TRAV21,16
TRAV22,17
TRAV23,18
TRAV23DV6,19
TRAV24,20
TRAV25,21
TRAV26-1,22
TRAV26-2,23
TRAV27,24
TRAV29,25
TRAV29DV5,26
TRAV3,27
TRAV30,28
TRAV34,29
TRAV35,30
TRAV36,31
TRAV36DV7,32
TRAV38-1,33
TRAV38-2,34
TRAV38-2DV8,35
TRAV39,36
TRAV4,37
TRAV40,38
TRAV41,39
TRAV5,40
TRAV6,41
TRAV7,42
TRAV8-1,43
TRAV8-2,44
TRAV8-3,45
TRAV8-4,46
TRAV8-5,47
TRAV8-6,48
TRAV9-1,49
TRAV9-2,50
TRDV1,51
TRDV2,52
TRDV3,53
