n_h,l1b,avelik_train,stdlik_train,avelik_test,stdlik_test,backRBM_aveAUC,backRBM_stdAUC,postRBM_aveAUC,postRBM_stdAUC,topRBM_aveAUC,topRBM_stdAUC
1,0.1,-22.927553825378418,0.16528668339150998,-23.091171112060547,0.2156692489656919,0.3780742422412754,0.011263487271650129,0.4795740973312402,0.01117240249186935,0.7088004951092861,0.012844228687829409
1,0.01,-22.942348289489747,0.17586637031608662,-23.12213722229004,0.23744835135795134,0.3780742422412752,0.011263487271650129,0.47873349836976203,0.01258142225405748,0.7131055065813307,0.014726834317849598
1,0.001,-22.87444046020508,0.25096458477236155,-23.07149631500244,0.29628159913230856,0.37807424224127517,0.011263487271650129,0.4803778408404781,0.012166880853904641,0.7130370848931288,0.013161449726738534
5,0.1,-22.276855926513672,0.17778130134300346,-22.517376670837404,0.24757408895404512,0.37807424224127517,0.011263487271650129,0.5116101437024514,0.012305817973763419,0.7319330757154933,0.011112907162402102
5,0.01,-22.090827445983887,0.15438993157182454,-22.435464057922363,0.23590403805898835,0.37807424224127517,0.011263487271650129,0.5175317352976692,0.01163940394393459,0.7351384615384617,0.010799629814403548
5,0.001,-22.037046852111818,0.19292339779968845,-22.438979072570802,0.2420091109520389,0.37807424224127506,0.01126348727165013,0.5185272913899288,0.01135095706001346,0.7333016181620576,0.009371894796746511
10,0.1,-22.055636558532715,0.1961612642514707,-22.358115119934084,0.2663547985685737,0.37807424224127517,0.011263487271650129,0.5188331964738558,0.011919915519560247,0.735493382441734,0.01015572201065461
10,0.01,-21.787555274963378,0.20797172263569916,-22.289274826049805,0.24736770132155278,0.37807424224127506,0.01126348727165013,0.5298470836855452,0.011214913196377723,0.7369325685303706,0.011470040486246134
10,0.001,-21.649932975769044,0.15319455412181676,-22.26061138153076,0.22602851988262831,0.3780742422412754,0.011263487271650129,0.5312034899166767,0.011713601809991517,0.7352740248762225,0.00919834557009434
20,0.1,-21.880454063415527,0.2150476784380596,-22.277843856811522,0.2483270204309214,0.3780742422412752,0.011263487271650129,0.526168035261442,0.01206100616680454,0.7370172201424947,0.010267130108777825
20,0.01,-21.401881332397462,0.1772991830413343,-22.1655871963501,0.23378767796791824,0.3780742422412753,0.011263487271650129,0.541023185605603,0.01228402200964194,0.7381327134404055,0.010361881068784043
20,0.001,-21.29578426361084,0.2072595311311842,-22.267517738342285,0.27702081187216926,0.3780742422412752,0.01126348727165013,0.5428572515396692,0.01262003928971451,0.7352560560318804,0.01319108482233348
30,0.1,-21.83907543182373,0.1373489417243909,-22.302687339782715,0.20837958526354108,0.3780742422412752,0.01126348727165013,0.5306781789638934,0.011397398544327069,0.7375274362999638,0.012558847179929498
30,0.01,-21.13316963195801,0.19119340612878397,-22.140535621643068,0.2407044668134122,0.3780742422412753,0.011263487271650129,0.545863192851105,0.01176548048268025,0.7372457915710663,0.011035394608679222
30,0.001,-20.91556179046631,0.21531998167863003,-22.22620349884033,0.26420397344708535,0.37807424224127517,0.011263487271650129,0.5489106750392465,0.011585118436087801,0.7350820794590027,0.010956866580215358
40,0.1,-21.70756286621094,0.19894871580950296,-22.22302993774414,0.2481207611003517,0.37807424224127506,0.011263487271650129,0.5339747615022341,0.011182168169310667,0.7387186571670089,0.011871443696459932
40,0.01,-20.917003898620607,0.22104353474963273,-22.131513786315917,0.2664161363437934,0.3780742422412752,0.01126348727165013,0.5489979229561649,0.011885356029459301,0.7361503803888421,0.010765255568035046
40,0.001,-20.62855728149414,0.21191948947872394,-22.242201919555665,0.2630231642979247,0.3780742422412752,0.01126348727165013,0.5521858591957493,0.01222678512453165,0.733637773215795,0.011591584296773148
50,0.1,-21.568005561828613,0.19451807423104822,-22.12477108001709,0.27146082083391604,0.3780742422412752,0.011263487271650129,0.5358202391015578,0.011906365901873156,0.7384305639415532,0.012556246422153135
50,0.01,-20.728963890075683,0.17799660746460952,-22.125175819396972,0.2640623523948888,0.3780742422412752,0.011263487271650129,0.5513213863060017,0.011796473638666885,0.7358959545948557,0.010772798724313387
50,0.001,-20.38284839630127,0.21504237255319988,-22.275303192138672,0.24952000611460332,0.37807424224127517,0.011263487271650129,0.5545594976452117,0.012232245890603725,0.7314526989494021,0.010889788888330691
60,0.1,-21.544420928955077,0.16981092707132506,-22.13317195892334,0.28215154377781115,0.37807424224127517,0.011263487271650129,0.5379709455379784,0.01182286324918278,0.7397803163869097,0.01289562923462638
60,0.01,-20.559371299743653,0.1644708252229396,-22.120260162353517,0.2352695013830273,0.37807424224127517,0.011263487271650129,0.5532301292114479,0.012693362765993301,0.7333392585436542,0.011132841304321083
60,0.001,-20.13012725830078,0.1982408431689658,-22.27254524230957,0.3010821340001971,0.3780742422412752,0.01126348727165013,0.5559520468542446,0.012102243976760277,0.7297849414321942,0.011296352249762586
70,0.1,-21.506851997375488,0.2030998331665165,-22.121730003356934,0.24048932622531105,0.37807424224127506,0.01126348727165013,0.5386541118222437,0.012104459840761254,0.737740212534718,0.012716481626972068
70,0.01,-20.47942268371582,0.2200610569334057,-22.18024040222168,0.272442734526058,0.37807424224127517,0.011263487271650129,0.5549769351527594,0.011756740967895023,0.7334249366018597,0.009582959508815438
70,0.001,-20.02306137084961,0.19094249489869297,-22.389525299072265,0.27255584398715016,0.3780742422412752,0.011263487271650129,0.5585389083444031,0.012389673228438664,0.7313633739886485,0.010366992247208794
80,0.1,-21.5275638961792,0.19117637891225328,-22.169033889770507,0.23190116403793903,0.3780742422412752,0.011263487271650129,0.53970902064968,0.012434528953742642,0.7379018838304552,0.014060849555417414
80,0.01,-20.39893810272217,0.23133831866882537,-22.234005050659178,0.34143534344766907,0.37807424224127517,0.01126348727165013,0.5554865475184156,0.012576307551526354,0.7328608018355269,0.010916178068368967
80,0.001,-19.873484840393065,0.2207998564243623,-22.439413299560545,0.25150613025435126,0.3780742422412752,0.011263487271650129,0.5597362395845913,0.012794638298273167,0.7306407559473493,0.010382416243218078
90,0.1,-21.422439956665038,0.18670632843321341,-22.089917793273926,0.2293593692430139,0.3780742422412753,0.011263487271650129,0.541074133558749,0.012314186095587574,0.7386653906533024,0.013124013389782323
90,0.01,-20.2785555267334,0.20980909475348183,-22.225421295166015,0.24878998190482499,0.3780742422412753,0.01126348727165013,0.556675570583263,0.012345342770396693,0.7327960753532181,0.011707216607284191
90,0.001,-19.679869842529296,0.21657484107438077,-22.4331050491333,0.2916258452581762,0.3780742422412752,0.011263487271650129,0.5606054220504771,0.011857649161117182,0.728911085617679,0.010995654550482438
100,0.1,-21.39099147796631,0.19273268552076267,-22.080108222961425,0.23100017579598908,0.37807424224127506,0.01126348727165013,0.5415632773819586,0.012663993626883181,0.7391187054703537,0.012401755021650224
100,0.01,-20.181041107177734,0.21581694817099947,-22.230809173583985,0.22866122117409451,0.3780742422412752,0.011263487271650129,0.5576906170752326,0.012109086081313551,0.7329437145272312,0.011814465639457955
100,0.001,-19.61862808227539,0.20841010298467513,-22.52929874420166,0.29284809368576703,0.37807424224127517,0.011263487271650129,0.5612808356478688,0.012117664479918891,0.7299308054582778,0.010821036730695757
