n_h,l1b,avelik_train,stdlik_train,avelik_test,stdlik_test
5,0.0,-23.808700561523438,0.048983361572027206,-23.820669174194336,0.048644501715898514
5,0.1,-24.330759048461914,0.07680347561836243,-24.325462341308594,0.05556977912783623
5,0.01,-23.892982482910156,0.05945326015353203,-23.88355827331543,0.07596603035926819
5,0.001,-23.75461769104004,0.1028011217713356,-23.754213333129883,0.09730564802885056
20,0.0,-21.82427406311035,0.06918835639953613,-21.829185485839844,0.07808633148670197
20,0.1,-22.733619689941406,0.008969683200120926,-22.737924575805664,0.011133038438856602
20,0.01,-22.121002197265625,0.05111246183514595,-22.125558853149414,0.04427719488739967
20,0.001,-21.890737533569336,0.06455488502979279,-21.892379760742188,0.061084069311618805
50,0.0,-21.354127883911133,0.03931928053498268,-21.3752384185791,0.04210059717297554
50,0.1,-22.00715446472168,0.0268535278737545,-22.015756607055664,0.028177672997117043
50,0.01,-21.489532470703125,0.05462553724646568,-21.482511520385742,0.054507121443748474
50,0.001,-21.339216232299805,0.04585796967148781,-21.34296226501465,0.05835162103176117
100,0.0,-21.200942993164062,0.05368416756391525,-21.238283157348633,0.053489260375499725
100,0.1,-21.98760986328125,0.09737604111433029,-21.9927978515625,0.08157292008399963
100,0.01,-21.389596939086914,0.034168340265750885,-21.38446617126465,0.03463931009173393
100,0.001,-21.291399002075195,0.06238145753741264,-21.309892654418945,0.056357141584157944
200,0.0,-21.369504928588867,0.13024047017097473,-21.412689208984375,0.1221776232123375
200,0.1,-21.798268000284832,0.11183772031160581,-21.797346115112305,0.11082307875235287
200,0.01,-21.54602559407552,0.11636361187004221,-21.565470377604168,0.12744015532024314
200,0.001,-21.3063481648763,0.051223204425150416,-21.329214731852215,0.045357665822801485
